Feature,Importance
Packet Length Variance,0.008451984807997096
Dst Port,0.0038453177530994114
Packet Length Std,0.0031254663785925856
Active Min,0.0028473710417781634
Bwd Packet Length Mean,0.0028002155741877976
Bwd IAT Min,0.0027951672782645523
Fwd Seg Size Min,0.002297262219029479
Flow Duration,0.0021299960186781687
Bwd IAT Mean,0.002103418908916048
Bwd Packets/s,0.0019397624405006315
Fwd Bulk Rate Avg,0.001613355383254606
Packet Length Max,0.0016044869862515804
Packet Length Min,0.001528697696650791
RST Flag Count,0.0013993254697692566
Down/Up Ratio,0.0012540033447929217
Total TCP Flow Time,0.0012514200790471202
Fwd Packet Length Min,0.0011857953024104122
Total Fwd Packet,0.00109555512822406
Fwd Packet Length Max,0.0010257623624267162
Bwd Packet Length Max,0.0009971356741724905
Idle Mean,0.0009764423728871246
Flow IAT Max,0.0009706173205718526
Fwd IAT Std,0.0009597939704653929
Fwd IAT Min,0.0009589549134458371
Packet Length Mean,0.0009187766860369862
SYN Flag Count,0.0009149908787847251
Idle Std,0.0008218708332261831
Protocol,0.0007894279698363813
Bwd Header Length,0.0007047957003805792
Bwd Packet Length Std,0.0006726420290119296
Bwd RST Flags,0.0006270493426342751
Flow Packets/s,0.0005905562919256885
Src Port,0.0005778675230650694
Subflow Bwd Bytes,0.0005617740129935644
Bwd Init Win Bytes,0.0005402897937932365
Fwd IAT Max,0.0005387494138955435
Bwd Bytes/Bulk Avg,0.0005332327631199183
Active Max,0.000498539610560494
Fwd Header Length,0.000492144022567173
Bwd Segment Size Avg,0.0004721568866674652
Bwd Packet/Bulk Avg,0.00047024431833489174
Fwd Packet/Bulk Avg,0.0004650918116573843
Fwd Segment Size Avg,0.00044577140977408914
Fwd Packet Length Std,0.0004414004928647002
Flow Bytes/s,0.00041582053055432537
PSH Flag Count,0.0004123395813962293
FIN Flag Count,0.0004122178430588378
Fwd Bytes/Bulk Avg,0.0003593603561426776
Fwd Packets/s,0.0003498465740170706
Bwd IAT Std,0.0003361888656038633
Flow IAT Mean,0.00032558952804350686
ACK Flag Count,0.0003024361305250056
Bwd Bulk Rate Avg,0.00030243613052500536
Total Bwd packets,0.00030185328337436524
Bwd IAT Total,0.00028973158361991845
Total Length of Fwd Packet,0.00028879285197727617
Subflow Fwd Bytes,0.00027995398351436863
Fwd PSH Flags,0.00026232457846547314
FWD Init Win Bytes,0.00015676676963763875
Fwd IAT Total,0.00015236403835613532
Flow IAT Min,0.00014554686321772563
Bwd IAT Max,9.751422062941249e-05
Active Std,8.710560587647437e-05
Fwd RST Flags,8.46797414751697e-05
Bwd Packet Length Min,8.288033156909245e-05
Idle Min,6.8187817212262e-05
Fwd Packet Length Mean,6.060662371841229e-05
Idle Max,4.8656856748107717e-05
Flow IAT Std,4.308063121567116e-05
Total Length of Bwd Packet,3.6194950512743193e-05
Fwd Act Data Pkts,1.629236206278085e-05
Subflow Fwd Packets,0.0
Subflow Bwd Packets,0.0
Active Mean,0.0
Bwd URG Flags,0.0
Average Packet Size,0.0
Bwd PSH Flags,0.0
CWR Flag Count,0.0
ECE Flag Count,0.0
ICMP Type,0.0
ICMP Code,0.0
Fwd URG Flags,0.0
Fwd IAT Mean,0.0
URG Flag Count,0.0
